Index,task,time,id,points,DCR time,points2,DCR time2
0,let's give this a crack,09:12:21,-NraOoAmtpkCy537IEuw,,,,
1,start Task,09:13:14,-NraP-p6e2LSocQkT2n0,,,,
2,end the task,09:13:31,-NraP4-Q1Ytx74hYVw2T,,,,
3,end task,09:13:44,-NraP722l3VtkUFUby_B,,,,
4,end task,09:13:44,-NraP75oEmSs1zNTbkIv,,,,
5,start Task,09:13:55,-NraP9toDm4nuo9vltiO,,,,
6,I am working on tandem,09:14:46,-NraPMMq3gpM_NOJC_Xv,,,,
7,end task,09:15:22,-NraPV00gNrCUZfMRzD8,1,,,
8,end task,09:15:22,-NraPV3VFSsIBQLTREOm,,,,
9,start Task still working on tandem,09:15:39,-NraPZGTySxNcFzBGZXN,,,,
10,end a task,09:20:34,-NraQgTKJUXR10zFw4Ga,,,,
11,stop tasks,09:20:44,-NraQihOxG1Q3Uz4_Gvl,5,,,
12,stop tasks,09:20:44,-NraQikgRTHYNMyG0zIU,,,,
13,start Task,09:23:00,-NraRErvakqyXsnE4Uzk,,,,
14,end task,09:24:57,-NraRgewd27MrLFRj7km,1,,,
15,it's that final speech lower not equal to speech lower,09:28:01,-NraSOkMJF9ba-y0F4FZ,,,,
16,I'm not sure why it prints anyway even though the string is equal to what it,09:28:44,-NraSZ7Kl3VXlNZdScMI,,,,
17,25 mg,09:29:35,-NraSkFTYlU_9rQ1K-Ol,,,,
18,maybe make a function that sorts what speech is being said,09:32:20,-NraTOH8VlEcVHXcIPyl,,,,
19,again using the flag system,09:32:40,-NraTSRDYwTbah3sDK4B,,,,
20,did 17 push-ups,09:43:13,-NraVsAM64vfpnLnlphV,,,,
21,start to ask you going to work,09:43:33,-NraVwwjWoXGkutzuzSb,,,,
22,start Task going to work,09:43:45,-NraVztxXhzfoT7c8XXX,,,,
23,stop tasks,15:13:12,-NrbgOsNzzkAQcK3tMBT,329,,,
24,stop tasks,15:13:12,-NrbgOvoFCBFp0jfNUUK,,,,
25,start DCR,15:13:25,-NrbgRzBfi4KbOpunIMV,,,,
26,just got home going to take a shower,15:13:34,-NrbgUGwkm-CwK5jyp0X,,,,
27,35 mg,15:25:56,-NrbjJCpA_tpuH9Pwa0A,,,,
28,end the DCR,15:46:05,-NrbnvU6FgbhhPE-KYiw,,,,
29,stop DCR,15:46:15,-Nrbnxu1SbXQ2feQyJ85,,33,,
30,stop DCR,15:46:15,-NrbnxxiYF4MTP7FjihE,,,,
31,start Task going to school,15:46:34,-Nrbo1j8c0Z8N_3aobHe,,,,
32,stop tasks,18:59:00,-NrcV4JgjDozk8M12pg5,192,,,
33,stop tasks,18:59:00,-NrcV4NbaphhPTHXXMeB,,,,
34,why is the digital crack rock fucked up,18:59:27,-NrcVB5CHPmEKoKKTlnK,,,,
35,start DCR,18:59:44,-NrcVF3hlVlCt7Ki_lEF,,,,
36,40 mg,20:25:16,-Nrcnoy89ZboKdaiIT4G,,,,
37,45 mg,20:31:43,-NrcpIUQG0-_SdAYRupf,,,,
38,50 mg,20:39:41,-Nrcr7ILGNktl9XpJ6LA,,,,
39,55 mg,20:48:00,-Nrct0yEpZhe3Pp1nNxF,,,,
40,60 mg,20:58:59,-NrcvY3ZMov_dbz9fkTH,,,,
41,end DCR,21:05:40,-Nrcx3uwKKzSROB2cW1C,,126,,
42,end DCR,21:05:40,-Nrcx3yMUmMBQxG3sPLF,,,,
43,start Task working on tandem,21:11:08,-NrcyK5ozVFhjhZzsW6l,,,,
44,start DCR,21:21:22,-Nrd-ehePvlejuKBJK1N,,,,
45,end DCR,21:31:12,-Nrd1usLTtZheqp54r1W,,9,,
46,end DCR,21:31:12,-Nrd1uvr4YUJLKvxuAVc,,,,
47,start Task,22:14:52,-NrdBuG_JMcSszJkQxuD,,,,
48,end task,22:29:46,-NrdFJgtbgFArLiKmwGt,14,,,
49,end task,22:29:46,-NrdFJk9awGwj3_9EdlG,,,,
50,start Task,22:30:12,-NrdFQGncBfJtNxTS2iT,,,,
51,update those points,22:47:46,-NrdJReU0IFXBkXoYyYY,,,,
52,end task,22:49:28,-NrdJpONAiyp22T7eTS0,19,,,
53,end task,22:49:28,-NrdJpavqsUyefL_Gd7V,,,,
54,start DCR winky face,23:15:19,-NrdPkBrWuC_yEOv2YFB,,,,
Total,,,,561,168,0.0,0.0
